cenario;lambda;chi2;p_value;total_dias;total_acidentes
Dias Normais;0,1703056768558952;0,11436404078408048;0,7352294089607243;229;39
Dias Sazonais;0,3014705882352941;1,121407490814838;0,5708072195080944;136;41
