Qtd_Acidentes_no_Dia;Dias_Observados;Probabilidade_Poisson;Dias_Esperados
0;195;0,8434069671991213;193,14019548859878
1;29;0,14363699441382416;32,89287172076573
2;5;0,012231097777596385;2,9669327906354894
